Restaurants,Cuisine_type,Rating_rest
Vit Dong Que,Vietnamese,4.5
The Cheesecake Factory,American,3
Thai Elephant Express,Thai,3.5
Sushi Arashi,Japanese,4
Wingstop,American,2.5
Bluefin,Japanese,3.5
The Breakfast Club,American,4
The Table,American,4
Sweet Mango,Thai,4
Rok Bistro,American,3.5
SGD Tofu House,Korean,4
Tequila's Taqueria,Mexican,3.5
Q Pot Korean BBQ & Hot Pot,Korean,4
Puesto,Mexican,3.5
La Victoria Taqueria,Mexican,3.5
Five Guys,American,3.5
Morton's The Steakhouse,American,3.5
The Grandview Restaurant,American,4
Bonchon,Korean,4
In-N-Out Burger,American,4
Mexico Bakery,Mexican,4.5
Jasmine Thai,Thai,3.5
Kenzo Sushi,Japanese,3.5
Buffalo Wild Wings,American,2
SHIMOFURI Japanese BBQ Yakiniku Dining,Japanese,4.5
Gen Korean BBQ House,Korean,4.5
Gyu-Kaku Japanese BBQ,Japanese,4
Cao Nguyen Restaurant,Vietnamese,4
Paesano Ristorante Italiano,Italian,4
Vit Dong Que,Vietnamese,
Vito's Trattoria,Italian,4
Thai Lovers,Thai,4
Chick Fil A,American,4
Vons Chicken,Korean,4
Thien Long Vietnamese Restaurant,Vietnamese,4
Spartan Taco Truck,Mexican,4
Mariscos Costa Alegre,Mexican,4.5
Milan Italiano,Italian,3.5
SJ Omogari Korean Restaurant,Korean,4
Santa Fe Taqueria,Mexican,4
Cha Cha Sushi,Japanese,4
The Pizza Press,Italian,4.5
Danbi Korean Restaurant,Korean,4.5
Banh Cuon Tay Ho,Vietnamese,4
Mizu Sushi Bar & Grill,Japanese,4
La Victoria Taqueria,Mexican,2.5
Banh Canh 3 Mien,Vietnamese,4
II Fornaio,Italian,3.5
Vung Tau Restaurant,Vietnamese,4
Giorgio's Italian Food & Pizzeria,Italian,3.5
Bun Bo Hue An Nam,Vietnamese,4
La Costa,Mexican,4
Siena Bistro,Italian,4
Famous Lao Papaya Restaurant,Thai,4
Ramen Nagi,Japanese,4.5
Thaibodia,Thai,3.5
HiroNori Craft Ramen,Japanese,4.5
Golden Bamboo,Thai,4.5
New Krung Thai Restaurant,Thai,3.5
Homeroom,American,4